coil,phase,record_kind,point_group,point_group_raw,feature,feature_raw,axis,value,uncertainty,units,is_formula
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PCCF,P1-PCCF,x,2820.93,0.1308025336870313,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PCCF,P1-PCCF,y,-0.03,0.1308025336870313,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PCCF,P1-PCCF,z,8049.98,0.1308025336870313,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,x,7717.25,0.1071305150839406,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,y,2.1,0.1071305150839406,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF2,P1-PF2,z,7005.69,0.1071305150839406,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,x,7746.91,0.1048209935335639,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,y,1.73,0.1048209935335639,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF5,P1-PF5,z,-7404.04,0.1048209935335639,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,x,3129.42,0.1067332252985544,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,y,0.06,0.1067332252985544,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-PF6,P1-PF6,z,-8279.53,0.1067332252985544,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,x,5782.58,0.1006155281279427,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,y,226.38,0.1006155281279427,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P1-TCC,P1-TCC,z,6935.03,0.1006155281279427,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P20-IOIS,P20-IOIS,x,9867.21,0.1347792495837826,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P20-IOIS,P20-IOIS,y,-1773.75,0.1347792495837826,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P20-IOIS,P20-IOIS,z,-2996.42,0.1347792495837826,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,x,11190.95,0.1480702231075626,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,y,-374.36,0.1480702231075626,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P22-SCC,P22-SCC,z,-1908.76,0.1480702231075626,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P23-SCC,P23-SCC,x,11190.85,0.1391530807634465,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P23-SCC,P23-SCC,y,-374.6,0.1391530807634465,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P23-SCC,P23-SCC,z,-2348.92,0.1391530807634465,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-AT,P2-AT,x,10336.76,0.1156095833972304,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-AT,P2-AT,y,2.12,0.1156095833972304,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-AT,P2-AT,z,4064.98,0.1156095833972304,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-GS,P2-GS,x,10947.24,0.1117446087117857,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-GS,P2-GS,y,-397.96,0.1117446087117857,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-GS,P2-GS,z,-4686.99,0.1117446087117857,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-IOIS,P2-IOIS,x,9799.53,0.1061804737716627,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-IOIS,P2-IOIS,y,1664.91,0.1061804737716627,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-IOIS,P2-IOIS,z,3172.24,0.1061804737716627,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,x,7540.14,0.2588541835312534,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,y,1368.11,0.2588541835312534,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-OIS,P2-OIS,z,6354.41,0.2588541835312534,mm,false
4,FAT supplier,fiducial,Fiducial,Fiducial,P2-PF2,P2-PF2,x,9002.18,0.1066610731679723,mm,false
