Fri Sep  4 23:42:45 2026    docs/figures/millisecond-converged-solve/trip-quantum/host-profile/production-solve.pstats

         4663 function calls (4552 primitive calls) in 41.132 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 core.py:1454(axis_env)
        3    0.000    0.000    0.000    0.000 inspect.py:2744(kind)
        1    0.000    0.000    0.000    0.000 monitoring.py:84(record_event_time_span)
        1    0.000    0.000    0.000    0.000 array.py:253(shape)
        1    0.000    0.000    0.000    0.000 mesh.py:631(get_abstract_mesh)
        1    0.000    0.000    0.000    0.000 monitoring.py:73(record_event_duration_secs)
        2    0.000    0.000    0.000    0.000 core.py:170(is_high)
        2    0.000    0.000    0.000    0.000 inspect.py:2732(name)
        1    0.000    0.000    0.000    0.000 api_util.py:697(<genexpr>)
        1    0.000    0.000    0.000    0.000 pxla.py:133(<genexpr>)
        1    0.000    0.000    0.000    0.000 dispatch.py:184(__init__)
        1    0.000    0.000    0.000    0.000 pxla.py:792(_create_device_list)
        1    0.000    0.000    0.000    0.000 flattree.py:332(<lambda>)


