manifest_row,time_s,converged,qualified,candidate_node,candidate_node_r_m,candidate_node_z_m,sampled_flux_wb,fitted_anchor_r_m,fitted_anchor_z_m,fitted_anchor_flux_wb,quadratic_curvature,stationary_coordinate_m,bracket_length_m,tangent_at_wall_node,contour_closed,inside_vertex_count,boundary_vertex_count,containment_fraction,enclosed_area_m2,enclosed_area_ratio,trace_error,selected_by_public_read,selected_by_private_read,nearest_fully_contained_ratio_one,maximum_containment_candidate,public_contour_closed,selected_anchor_candidate_contour_closed,selected_anchor_candidate_containment_fraction,nearest_fully_contained_candidate_node,nearest_fully_contained_candidate_ratio,maximum_containment_fraction,maximum_containment_candidate_node
16,0.03500000014901161,True,True,14,0.4165000021457672,1.5470000505447388,0.19060508534496107,0.5825902819633484,1.5470000505447388,0.22852583575611696,-0.6886662123277818,-0.06856702245432304,0.3591304324302078,False,True,39,64,0.609375,1.839526921818858,2.287255387196371,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,15,0.2800000011920929,1.683500051498413,0.10255149110551504,0.2800000011920929,1.5738696292997072,0.08925468842476456,1.106330921186454,0.30267057481133247,0.6474516592654587,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,16,0.2800000011920929,1.229088544845581,0.2207686661429086,0.19524440169334412,1.0835000276565552,0.24105033313615687,-0.255609441481721,0.736096284291502,0.6228737516328025,False,True,41,64,0.640625,1.5536175643234422,1.9317576174031228,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,17,0.19524440169334412,1.0835000276565552,0.23777358831251294,0.19524440169334412,-0.014372293869472363,0.2892360146934102,-0.04269594066963612,1.266334566505998,2.3354623002930808,True,True,64,64,1.0,0.21255450623956346,0.26428884171404365,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,18,0.19524440169334412,-1.0835000276565552,0.2404330981002641,0.19524440169334412,-0.014203099986921597,0.2898330093305268,-0.043204554421394384,1.0977031276434768,2.3354623002930808,True,True,64,64,1.0,0.1977712270584971,0.2459074119310597,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,19,0.2800000011920929,-1.229088544845581,0.22364156809792865,0.19524440169334412,-1.0835000276565552,0.24295027555442153,-0.27775835416413874,-0.09519701953549209,0.6228737516328025,False,True,41,64,0.640625,1.5104522989083193,1.8780862170613,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,20,0.2800000011920929,-1.683500051498413,0.09973094853242404,0.2800000011920929,-1.576611693738488,0.08678417356393298,1.1331849299976238,0.34752314889290686,0.6474516592654587,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,21,0.4165000021457672,-1.5470000505447388,0.18872221647407758,0.5825902819633484,-1.5470000505447388,0.22156355865103844,-0.7558056603446935,0.4014918226321543,0.3591304324302078,False,True,39,64,0.609375,1.9708173574875316,2.4505010307956567,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,22,0.5825902819633484,-1.5470000505447388,0.22020727493193715,0.6122831446164401,-1.5719150725690918,0.22137637938874877,-0.7781452731545424,0.20485139970606428,0.4283582318333037,True,True,39,64,0.609375,1.9742944760493542,2.4548244566004747,,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
16,0.03500000014901161,True,True,23,0.7835000157356262,-1.7155816555023193,0.18250389570627237,0.7835000157356262,-1.7280815839767456,0.17190179971278677,0.19839624147996507,0.49343671330209293,0.2747678804901488,False,False,,,,,,SurfaceGeometryError: a requested surface does not close inside the lattice; the boundary flux does not bound this map,False,False,False,False,True,True,1.0,25,0.7202908562258236,1.0,10
