candidate,cell,radius_m,height_m,full_vertex_count,support_vertex_count,neighbour_count,analytic_m0_a,repaired_m0_a,relative_m0_error,fit_constraint_residual_a_m2,one_sided_condition
own_geometry,554,7.048836747066499,3.187703728334557,6,5,6,-3780.0295052441525,-4413.136224307396,0.16748724267493553,2.3283064365386963e-10,nan
own_geometry,557,6.8286150602998745,3.3148487784706617,6,5,6,-8522.112156043946,-8772.623104820854,0.029395406231452082,2.3283064365386963e-10,nan
own_geometry,558,6.608393373533249,3.4419938286067655,6,5,6,-11433.680589977954,-12339.500995660374,0.07922386833828514,4.0745362639427185e-10,nan
own_geometry,559,6.388171686766625,3.5691388787428693,6,6,6,-11504.003281477882,-12762.45384399397,0.1093924029509159,4.0745362639427185e-10,nan
own_geometry,562,6.388171686766625,3.8234289790150786,6,3,6,0.0,-0.7524037840042648,nan,6.821210263296962e-12,nan
one_sided,0,5.10351553389521,-3.748449708623358,8,8,6,-563.88115946132,-1201.2599561377158,1.1303424240761808,394.3695393998969,27.741492904678733
one_sided,1,5.5274406867329535,-4.4792321743318935,33,33,8,-477.32026562001977,-559.7411324425512,0.17267414094700148,0.003272776084486395,329.15013627682555
one_sided,2,5.364739391056437,-4.34151179943077,3,3,4,-244.21235291926467,-317.30117632024917,0.2992838917740876,6.693881005048752e-10,43.696775174527914
one_sided,3,5.479811175351997,-4.3127512002534685,6,7,4,-1767.3107973057226,-2492.066668895699,0.41008965298852446,5.820766091346741e-11,8.293619838576697
one_sided,4,5.335486985834499,-4.1791517843021015,13,13,7,-2898.7787941125853,-3811.4829594374805,0.3148581627472216,0.0008742165809962898,36.96479079577117
one_sided,5,5.479342791778796,-4.059564129423392,5,4,7,-2.156224923677263,-286.0686270352459,131.67105110137564,1.0186340659856796e-10,75.65292850612255
one_sided,6,5.30958827701368,-3.922024475805872,8,8,5,-533.4861205324004,-1292.3453038294122,1.4224534699041411,1443.754976963326,7.224737627443455
one_sided,8,5.2870632529335,-3.678128979015079,6,4,6,-2.1532879421710076,-267.2875746099971,123.12997322620492,2.1827872842550278e-11,5.656197150534916
one_sided,13,5.72750662646675,-3.169548778470661,6,5,6,-217.47481273426453,-769.567426052919,2.5386508275478503,6.093614501878619e-11,6.143970729257634
one_sided,15,4.582680123878616,-3.751872916282149,6,6,6,-826.3706528485218,-1419.276695657777,0.7174819686123802,1.964508555829525e-10,27.501029232854517
one_sided,16,4.84800011240711,-3.640628281554349,9,10,5,-551.4063634644492,-1529.2457119508529,1.7733552118308984,1263.6224053558908,5.364400080924518
one_sided,17,5.066841566166875,-3.550983928878974,6,5,6,-72.45406830851313,-703.8460091344778,8.7143752665132,2.9103830456733704e-11,6.233289810017003
one_sided,18,4.84661987940025,-3.42383887874287,6,3,6,0.0,-65.35555862650571,nan,1.2732925824820995e-11,5.7673760923999895
one_sided,23,4.84661987940025,-2.9152586781984526,6,4,6,-48.61202732342255,-430.1294319971358,7.84821011753789,3.637978807091713e-11,5.469558740973886
one_sided,25,5.2870632529335,-3.42383887874287,6,4,6,0.0,-83.68638636107214,nan,1.0913936421275139e-11,5.473082070971517
one_sided,26,5.507284939700125,-3.2966938286067657,6,5,6,-18.47851537358944,-376.56784873433475,19.378685252633836,3.637978807091713e-11,5.543845262738254
one_sided,35,5.947728313233375,-3.042403728334557,6,5,6,-501.2657267142291,-1160.2917509619638,1.3147238862062565,1.1641532182693481e-10,6.081414248461416
one_sided,37,6.167949999999999,-2.9152586781984526,6,5,6,-607.9708758968009,-1426.2945415688823,1.345991556692572,1.2369127944111824e-10,6.0896449423794765
one_sided,40,6.167949999999999,-2.6609685779262437,6,6,6,-18302.63190959276,-19650.91459401293,0.07366605475540974,7.785274647176266e-10,5.47359211043512
one_sided,75,4.407346364316974,-3.855381693289957,14,14,6,-1208.2192606183362,-1544.8099240352499,0.27858409014656416,0.010740889993030578,463.55473424468374
one_sided,76,4.261377047853079,-3.8148553596637442,35,36,5,-248.80752167836232,-3089.8623057299,11.418685274813425,0.04596297856915044,237.40147854199333
one_sided,77,4.410204175112744,-3.6799280644149452,6,5,5,-186.95461747314152,-697.0331797246848,2.7283549833949556,1.2369127944111824e-10,11.464013782403264
one_sided,78,4.6263981926336255,-3.550983928878974,6,4,6,-11.645149005767433,-270.678836689283,22.243913543332532,2.9103830456733704e-11,6.030914706738938
one_sided,95,4.406176505867,-1.6438081768374084,6,3,6,0.0,-2.8344899125888716,nan,5.093170329928398e-11,5.476265858509943
one_sided,97,4.406176505867,-1.3895180765652,6,4,6,-178.5696405600316,-654.0382803108587,2.6626510433669375,7.275957614183426e-11,5.47626585850994
one_sided,102,4.406176505867,-1.135227976292991,6,5,6,-1331.031765864254,-1737.1022920226299,0.30507951543493744,8.731149137020111e-11,5.476265858509943
one_sided,104,4.406176505867,-0.8809378760207827,6,5,6,-3645.1426575693586,-3105.8675420010773,-0.14794348705350227,7.275957614183391e-11,5.47626585850994
one_sided,106,4.406176505867,-0.6266477757485739,6,6,6,-6703.2342680491865,-6327.217288968805,-0.056094858697190025,1.1641532182693481e-10,5.47626585850994
one_sided,107,4.202036701324899,-0.4995027256124692,7,3,6,0.0,-0.005483996145467618,nan,2.7284841053187847e-11,8.192768325372851
one_sided,108,4.406176505867,-0.3723576754763655,6,7,6,-9627.775010047022,-10016.71470215973,0.040397671498018164,3.4197000786662097e-10,5.476265858509948
one_sided,109,4.202036701324899,-0.2452126253402608,7,3,6,-16.735204722998894,-116.04708737407555,5.934309397159277,2.9103830456733704e-11,8.192768325372839
one_sided,110,4.406176505867,-0.11806757520415613,6,7,6,-11984.716067927027,-13104.212645713144,0.09341035460840527,2.91038304567337e-10,5.476265858509948
one_sided,111,4.202036701324899,0.009077474931947632,7,3,6,-158.80167599971304,-423.2076403559246,1.6650073917147405,3.2741809263825417e-11,8.19276832537285
one_sided,225,4.406176505867,0.1362225250680523,6,7,6,-13648.481366615411,-14862.969511440315,0.08898339032762849,1.1641532182693481e-10,5.4762658585099375
one_sided,226,4.202036701324899,0.263367575204157,7,4,6,-425.8994076729383,-688.0871992444331,0.6156096647423308,1.1641532182693481e-10,8.19276832537285
one_sided,227,4.406176505867,0.39051262534026077,6,6,6,-14653.578594957271,-15368.889320674103,0.04881474658777152,3.4924596548080444e-10,5.476265858509945
one_sided,228,4.202036701324898,0.5176576754763654,7,5,6,-697.9690218817551,-851.3240344230345,0.21971607296814916,8.731149137020111e-11,8.192768325372953
one_sided,229,4.406176505867,0.6448027256124701,6,6,6,-15130.667483753583,-15667.502010377571,0.03547989718235562,2.9103830456733704e-10,5.476265858509945
one_sided,230,4.202036701324898,0.7719477757485739,7,5,6,-849.1180689764135,-929.9391889308577,0.09518242857777318,1.1641532182693481e-10,8.192768325372962
one_sided,231,4.406176505867,0.8990928258846785,6,6,6,-15180.261031028513,-15701.786374397347,0.034355492458452076,3.4924596548080444e-10,5.476265858509937
one_sided,232,4.202036701324898,1.0262378760207833,7,5,6,-814.6505147339238,-914.609755259498,0.12270199148922435,5.3660187404602766e-11,8.192768325372965
one_sided,233,4.406176505867,1.153382926156887,6,6,6,-14822.1225430739,-15482.379643842703,0.044545381327813244,2.9103830456733704e-10,5.476265858509945
one_sided,234,4.202036701324899,1.2805279762929918,7,5,6,-611.3286380740706,-808.9325039252564,0.3232367233338142,7.275957614183426e-11,8.192768325372844
one_sided,252,4.406176505867,1.4076730264290964,6,6,6,-13989.864445110896,-15057.842587278325,0.07633942032516693,2.3283064365386963e-10,5.4762658585099455
one_sided,253,4.202036701324899,1.5348180765652002,7,4,6,-329.52866960702306,-609.9060442427059,0.8508436457745687,6.912159733474255e-11,8.192768325372851
one_sided,254,4.406176505867,1.6619631267013049,6,7,6,-12539.095822557232,-13565.563057947931,0.08186134390520676,2.61934474110603e-10,5.476265858509941
one_sided,255,4.202036701324899,1.7891081768374086,7,3,6,-97.06715590362406,-324.7999747457651,2.346136720728196,4.729372449219227e-11,8.192768325372851
