tree_sha	lane	correction	window	kind	field	value	unit	status	provenance
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.r0	3.0199983629457663e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.r_in_face	8.7749997379262787e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.r_out_face	1.5464094162183787e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.rho_cell	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.shape_axis_expansion_face	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.shape_boundary_cell_count_face	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_first_invalid_cell	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_first_invalid_level	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_invalid_count	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_max_coarea_weight	0.00075419759747076282	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_min_ordinate_derivative	0.00076347930865202913	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_arc_valid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_cell_band_capacity	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_cell_band_max_count	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.surface_cell_band_overflow	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.valid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.volume	0.00040899371998094229	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.volume_face	0.00040899371998094229	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.vpr_cell	0.00037367939763236212	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	geometry.vpr_face	0.00036649562427309193	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.radial_grid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.phi_boundary	0.00193242437491533	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.axis_reference	0.00059881600214626283	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.boundary_reference	0.00066793422042868498	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.boundary_field_function	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.boundary_pressure	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.ff_prime	0.00055690451728681548	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	window_exit_residual	source.p_prime	7.6941634563940721e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	extraction_receipt	valid_records	8	count	measured	total=8
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	branch_receipt	selected_class	limited	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	branch_receipt	selection_reason	history_continuity	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	branch_receipt	limited_core_cells	130	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		1	branch_receipt	diverted_core_cells	157	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	wall_time	81.613263159990311	s	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	input_hash	71285bcf14768ec18e486f79aa989f8570529daf20e95f181a494543851ec395	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	output_hash	198bd7c67bb5ae9d658bdf23e0d796bd23d0e6dbf85414c334b5589256c3206d	sha256	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	iterations_used	5	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	contraction_estimate	0.20117760493408571	ratio	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	gating_norm	0.0013572787835761781	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	all_field_norm	0.0018228894878606888	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	damping_applied	1	fraction	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	flux_closure_error	0	Wb	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	flux_closure_residual	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	current_continuity_error	1.1641532182693481e-10	A	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	current_continuity_residual	2.0094890469354284e-16	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	selection_history_sequence	6	count	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	fine_receipt	selection_history_class	limited	text	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_residual_trace	gating_norm	0.26562377938463194	relative	measured	exchange=1
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_residual_trace	gating_norm	0.056382541755723707	relative	measured	exchange=2
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_residual_trace	gating_norm	0.021974236745414329	relative	measured	exchange=3
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_residual_trace	gating_norm	0.0067466693622328395	relative	measured	exchange=4
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_residual_trace	gating_norm	0.0013572787835761781	relative	measured	exchange=5
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.radial_grid	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.phi_boundary	0.00024337778533015903	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.axis_reference	6.4729276802166145e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.boundary_reference	0.00011370138085250286	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.b2_cell	6.4891373469936657e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.b2_face	7.141583000731908e-05	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.clipped_vertex_capacity	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.clipped_vertex_count_max	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.clipped_vertex_count_required	0	relative	measured	experiment.py
e4582716ae1d2c5bd0761bdbb155aabd516acf73	serial		2	window_exit_residual	geometry.delta_lower_face	0.0018228894878256855	relative	measured	experiment.py
