angle_rad,retained_fraction,area_fraction,area_error,first_area_error,second_area_error,current_error,current_scaled_error,first_current_error,first_current_scaled_error,current_centroid_error_m,partition_area_error,partition_current_scaled_error,partition_first_current_scaled_error
0.4960409453036515,0.95,0.9933181022413408,2.7755575615628914e-17,4.4989695513765794e-18,9.369026796589492e-19,2.9103830456733704e-11,2.315242552447699e-16,4.49036025554153e-12,1.4883884378073203e-16,3.659210440975828e-17,2.7755575615628914e-17,3.472863828671549e-16,1.787063631356824e-16
0.4960409453036515,0.99,0.9997327240896534,2.7755575615628914e-17,3.9536141821177756e-18,9.514184230024306e-19,4.3655745685100555e-11,3.472863828671549e-16,4.657692994810872e-12,1.543853055392904e-16,3.7847819169828525e-17,5.551115123125783e-17,4.630485104895398e-16,8.436697577837395e-17
0.4960409453036515,0.9999,0.9999999732724087,2.7755575615628914e-17,3.3145791845336547e-18,1.116196764570632e-18,2.9103830456733704e-11,2.315242552447699e-16,4.915969908607348e-12,1.6294623050678777e-16,3.9569666100376524e-17,5.551115123125783e-17,5.788106381119248e-16,1.0718143064137532e-16
0.4960409453036515,0.99999,0.9999999997327239,2.7755575615628914e-17,3.3599462530613534e-18,1.1322876655558524e-18,4.3655745685100555e-11,3.472863828671549e-16,4.59738171997392e-12,1.5238620972006392e-16,3.7367087251761353e-17,5.551115123125783e-17,5.788106381119248e-16,7.99598829282292e-17
0.6613879270715354,1e-05,2.8299139508986204e-10,1.734723475976807e-18,2.7789482458620183e-19,5.006769342435382e-20,5.83999319104969e-11,4.645780479660105e-16,3.0209998752631425e-12,1.0013497868929353e-16,3.3037262011311817e-07,2.7755575615628914e-17,2.315242552447699e-16,1.1678685772413638e-16
0.6613879270715354,0.0001,2.829913959012974e-08,0.0,7.986878053593244e-22,2.958136862157868e-22,6.267892021377675e-11,4.98617882742767e-16,3.1093712278687755e-12,1.0306416236201325e-16,3.5656297857097636e-09,8.326672684688674e-17,6.945727657343098e-16,1.945332737659415e-16
0.6613879270715354,0.01,0.0002829913958996977,0.0,3.6422416731934915e-20,1.3658406274475593e-20,6.02611294198141e-11,4.793840841628159e-16,3.1008027187721485e-12,1.0278014795909474e-16,3.3383757019917457e-13,5.551115123125783e-17,4.630485104895398e-16,7.656348766975392e-17
0.6613879270715354,0.05,0.007074784897492802,1.734723475976807e-18,5.488355194393045e-19,1.3791819003207637e-19,5.763922672485933e-11,4.585265523792905e-16,3.123415263459321e-12,1.035296702278315e-16,1.16303893446044e-14,8.326672684688674e-17,3.472863828671549e-16,1.5018926724147733e-16
0.6613879270715354,0.15,0.06367306407743532,6.938893903907228e-18,1.8526854844795106e-18,5.468238980608103e-19,5.3660187404602766e-11,4.268728456075446e-16,2.737941617577302e-12,9.075264377650865e-17,1.062716010695555e-15,5.551115123125783e-17,6.945727657343098e-16,1.7256173714333648e-16
0.6613879270715354,0.3,0.233441813027365,2.0816681711721685e-17,3.496446946337351e-18,8.4765613425499565e-19,4.729372449219227e-11,3.7622691477275113e-16,1.8749713606747085e-12,6.214836974392253e-17,2.0816681711721685e-16,5.551115123125783e-17,4.630485104895398e-16,1.3716813315557914e-16
