tree_sha	window_index	member_id	role	chord_index	radius_m	height_m	psi_norm	electron_temperature_ev	electron_density_m-3	net_current_a	thomson_cocos	temperature_unit	density_unit	net_current_unit	support_method	supported	temperature_error_bound_ev	density_error_bound_m-3	net_current_support
bd3cca1f179fa063eac4d2061c2720906e32c1c7	1	current-low	counterfactual	5	1.25	0.04	0.11939433291509166	6875.454250313681	1.2054151416771225e+20	964999.9999999999	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.104383680557156	1.4368127893519053e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	0	0.94	-0.08	0.17067346623292876	6943.484700975911	1.1742494900325304e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	1	1.03	-0.03	0.032214019029673364	7115.839485727746	1.1799946495242582e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	2	1.12	0.02	0.005251485406664983	7136.061385945002	1.1806687128648334e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	3	1.0	0.12	0.1418188141879601	7008.40766807709	1.176413588935903e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	4	1.15	0.09	0.0630270914829461	7092.729681387791	1.1792243227129263e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	truth	truth	5	1.25	0.04	0.11937273313639359	7050.470450147705	1.1778156816715902e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055729	1.4368127893519078e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	0	0.94	-0.08	0.1708026635818844	7118.194006940759	1.1742398002313586e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	1	1.03	-0.03	0.032271376941426434	7290.79646729393	1.1799932155764643e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	2	1.12	0.02	0.005237003881215486	7311.072247089088	1.1806690749029695e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	3	1.0	0.12	0.14190011857878068	7183.224733197742	1.1764074911065914e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
bd3cca1f179fa063eac4d2061c2720906e32c1c7	2	pressure-high	counterfactual	4	1.15	0.09	0.06298866347842906	7267.758502391177	1.1792252834130393e+20	1030000.0	17	eV	m^-3	A	bilinear flux map followed by linear flux-profile interpolation	True	43.10438368055737	1.4368127893519104e+17	typed window plasma-current conservation ledger
