cell,radius_m,height_m,topology_zero,oracle_current_a,attributed_current_a,current_error_a,centroid_error_mm,oracle_radial_first_am,attributed_radial_first_am,oracle_vertical_first_am,attributed_vertical_first_am,first_error_norm_am,attribution_roundoff_current_a,attribution_roundoff_first_am
230,4.202036701324898,0.7719477757485739,False,-848.9230996241483,-873.9955909258814,-25.072491301733066,3.8042544116252723,-74.23180546796112,-73.09933337499334,-0.9182008772788541,-0.9305783211743822,1.1325397310771175,-3.979039320256561e-11,4.670007692205285e-12
231,4.406176505867,0.8990928258846785,False,-15183.274346470098,-15176.33601341145,6.938333058647913,0.02583581849186737,-227.34425276224448,-227.62880276869618,2.739795828544936,2.6851458523111975,0.289750454829683,-1.1823431123048067e-10,2.013006152052234e-11
232,4.202036701324898,1.0262378760207833,False,-814.4415129800059,-841.1493441640295,-26.707831184023576,3.8687634805640854,-71.4171690929949,-70.50510272425758,1.6142707289827163,1.700603195641037,0.9161431961112737,-4.206412995699793e-11,4.867569802648506e-12
233,4.406176505867,1.153382926156887,False,-14824.991256013634,-14824.535668318316,0.45558769531817234,0.06707648532930324,-245.74267397203215,-245.8376899504291,10.178221400337698,9.188834838091465,0.9939385321558626,-1.1459633242338896e-10,2.0289799139440032e-11
234,4.202036701324899,1.2805279762929918,False,-611.268390921701,-648.6112325767973,-37.34284165509632,4.417573727096012,-55.64940272692751,-56.18467601776985,3.0614134509267306,3.176717619567987,0.5475514105499504,-3.285549610154703e-11,3.790891605930298e-12
252,4.406176505867,1.4076730264290964,False,-13992.52156995361,-14011.778063673974,-19.256493720364233,0.06578143913458596,-286.79313389668346,-286.34507778504883,20.099722589674514,20.500675663896953,0.6012633756529389,-1.2369127944111824e-10,1.8948159186541752e-11
253,4.202036701324899,1.5348180765652002,False,-329.3430537320356,-357.02309616078355,-27.680042428747925,5.3981097384735035,-32.19327228354802,-33.0618008114009,2.3028086577982085,3.078594735287448,1.1645539239212725,-2.0236257114447653e-11,2.3450948477702176e-12
254,4.406176505867,1.6619631267013049,False,-12540.858000108088,-12539.534500092766,1.3235000153217698,0.02661866717420179,-345.3775876739548,-345.01604250795043,34.20439999910473,34.125122152305444,0.3701349538401536,-1.3460521586239338e-10,1.8300585094590128e-11
255,4.202036701324899,1.7891081768374086,False,-96.93392097431331,-136.05980711448342,-39.12588614017011,7.957730459855474,-10.48652154972831,-13.639185897263205,0.6500517832676322,0.9884049046978698,3.1707688851442972,-9.237055564881302e-12,1.15665692475089e-12
256,4.406176505867,1.916253226973513,False,-10320.500490911825,-10355.847507599363,-35.34701668753769,0.35886578075503894,-395.6474292098966,-393.43579490806735,53.206770232248246,52.344979944014526,2.3736067041364812,-1.2187229003757238e-10,1.725565870913671e-11
257,4.202036701324899,2.0433982771096177,False,-3.7858385052671784,-10.594958907880178,-6.809120402613,9.606715605101618,-0.46479024930636403,-1.200448761656983,0.011637460099911267,0.04986488293210281,0.7366510589487515,-5.790923296444817e-13,8.391834027496801e-14
258,4.406176505867,2.1705433272457215,False,-7339.585316188549,-7328.525967402512,11.059348786036935,0.24255672338338938,-382.0285869918028,-379.68886002524476,64.57846700163437,64.26249762640586,2.3609656761844597,-1.2187229003757238e-10,1.6566029219031512e-11
261,4.406176505867,2.424833427517931,False,-4115.208113806073,-4159.443118125665,-44.23500431959201,1.583188781489306,-275.2113377127489,-271.6070260995971,54.286747279917726,54.32538213285425,3.604518671967523,-9.185896487906575e-11,1.2059859141084865e-11
277,4.406176505867,2.6791235277901393,False,-1566.3915483330165,-1573.0402840756076,-6.648735742591043,1.60557722567659,-133.49932760933146,-131.61616712322527,33.490541526141854,33.018484888670315,1.9414249626016054,-5.047695594839752e-11,6.7315665287821785e-12
280,4.406176505867,2.9334136280623477,False,-198.45805402003924,-222.38900815195888,-23.930954131919634,6.656962285141797,-21.80542323113717,-23.03038727142892,5.753182271205288,5.978671681686517,1.2455450109277726,-1.1340262062731199e-11,1.5429581627333585e-12
362,6.387330576068207,-2.7867858402568295,False,-417.1443528371216,-469.38214995891633,-52.237797121794756,6.644552213446231,25.94051975165785,27.098885036854544,-39.39811445612252,-42.0169537851975,2.8635868356763186,3.927880243281834e-11,5.226045444267862e-12
364,6.601274676413868,-2.6519196834798753,False,-104.91690832754352,-165.24422867374568,-60.32732034620216,11.0407863300519,6.567928561644866,10.104643981219553,-10.2478868391948,-14.33183985753334,5.4025020328597595,1.2875034371973015e-11,1.745016326640994e-12
365,6.388171686766625,-2.5338235277901395,False,-18984.906081589907,-19005.930000399043,-21.023918809136376,0.017812855569314282,304.0329641279667,304.16338403789126,-510.6833977143228,-511.51738809123304,0.844126354098519,2.2919266484677792e-10,3.972948352278657e-11
366,6.811288595232737,-2.512598104861733,False,0.0,-1.8702557796211599,-1.8702557796211599,nan,0.0,0.10484335330479747,0.0,-0.1808265881719337,0.20902244789040408,1.305622276959184e-13,1.8930279280459645e-14
367,6.608393373533249,-2.406678477654035,False,-17092.017207264704,-17109.975848562153,-17.958641297449503,0.5691940784878626,415.4538359041871,410.4734589998297,-580.9180484298391,-573.4350067410527,8.988885749945455,2.6193447411060333e-10,4.1802489454417437e-11
368,6.8286150602998745,-2.2795334275179306,False,-12518.715159210271,-12601.07661008538,-82.36145087510886,1.303746029830149,471.95538381771746,465.11178744228323,-576.7923729054631,-567.5133396613276,11.529755821162464,3.092281986027956e-10,4.214827391730845e-11
372,7.048836747066499,-2.1523883773818264,False,-6021.988143066459,-6042.759011772714,-20.770868706254987,1.7592703857572207,344.2742763554039,338.92569896742214,-359.667596929978,-352.5239341584484,8.92407966507291,2.7466739993542433e-10,3.70271066769589e-11
373,7.269058433833124,-2.0252433272457218,False,-905.0924208129024,-953.0285185715659,-47.936097758663436,4.586703392007262,73.53076302826885,74.46920749951057,-69.78653700105991,-70.26231834352521,1.0521624928889253,8.219558367272839e-11,1.11707261601197e-11
376,7.269058433833124,-1.7709532269735133,False,-21469.816519528926,-21541.383461458823,-71.56694192989744,0.7741629340384767,570.2562088023095,562.408784362751,-510.0239312307143,-498.19341438901284,14.196591107599106,2.582964953035116e-10,4.0432776179872766e-11
392,7.489280120599749,-1.6438081768374087,False,-7989.049557500369,-8011.8102812443585,-22.76072374398973,1.5022749181530828,526.8115635323473,520.2585695403999,-395.26856927322274,-387.4504701471298,10.201196214362048,3.9744918467476964e-10,5.3787362347261024e-11
393,7.68690337417645,-1.5018087952457913,False,-44.30352662470802,-162.19731402277154,-117.89378739806352,11.039914054992567,3.243541708486499,12.101241028052184,-2.9513280172488745,-9.028687964881549,10.74211995692304,1.7820411812863313e-11,2.1042781901479354e-12
395,7.489280120599749,-1.3895180765652002,False,-27736.58602782562,-27698.30498543997,38.281042385649926,0.21333105848466868,139.5493152968047,141.08623142932439,-95.51354235381659,-89.73158764275578,5.9827344483235665,2.0736479200422764e-10,4.410499880668507e-11
396,7.709501807366374,-1.2623730264290958,False,-12799.968500037048,-12886.456881104796,-86.48838106774747,2.3909206764061857,768.9518555616489,748.6574035952075,-453.88772382139535,-439.64748698760945,24.79211821729865,4.129105946049094e-10,5.252996264318559e-11
397,7.9038302867397014,-1.1232886478940989,False,-38.086913394193076,-156.18090711650092,-118.09399372230784,12.593291503043945,3.607466690362685,13.341973354888877,-1.0349192651835981,-5.571662839370271,10.739770121358694,1.9184653865522705e-11,2.2565187903071124e-12
399,7.709501807366374,-1.0080829261568869,False,-28112.72594217707,-28006.875980241373,105.84996193569532,0.09538218321852523,76.50001494635184,78.86819613234798,-44.77112890683547,-44.318568108052965,2.411035753841225,2.473825588822365e-10,3.5887293683986245e-11
422,8.144638793483235,-0.4973259503884221,False,-835.6107274178244,-938.7754106023303,-103.16468318450598,4.9649356892319245,90.42315964216154,96.92943296185877,-21.409320792987316,-23.870134456659702,6.956090597305408,9.85664883046411e-11,1.3278179328712055e-11
424,8.149945180899623,-0.2452126253402609,False,-7409.416527314408,-7335.097117704084,74.31940961032433,0.3494264880157134,645.0929412820147,636.786707320452,-153.82319464347498,-154.06902707455384,8.309871010333923,4.911271389573812e-10,6.673127461683491e-11
426,8.149945180899623,0.00907747493194754,False,-14979.454834993425,-15402.895825656413,-423.44099066298804,2.891046258162127,976.4678201886745,960.2820844365905,-138.17756549361428,-150.17795280574992,20.149127461941315,4.2382453102618456e-10,5.638970293349202e-11
427,7.929723494132999,-0.8809378760207828,False,-9318.678849318396,-9317.14828886283,1.530560455565137,1.3036493906802848,706.4455855573221,694.3150735046562,-313.75080240730705,-311.9146901475457,12.268684969886538,4.729372449219227e-10,6.455823473593256e-11
430,7.929723494132999,-0.626647775748574,False,-23578.04235779727,-23747.120618344634,-169.07826054736506,1.0546435233984826,673.2543872414983,658.3544651033774,-237.14220482198195,-223.413820024301,20.260212952367095,1.8553691916167736e-10,2.6452230174631823e-11
432,7.929723494132999,-0.37235767547636556,False,-29064.146570023593,-29103.837840236596,-39.69127021300301,0.3407270636015427,-198.724086753106,-206.46754906682781,47.51486294045551,41.06021434193872,10.080857956263676,1.5643308870494366e-10,6.529520785097733e-11
438,8.149945180899623,0.2633675752041569,False,-19184.83552498444,-19359.292680791244,-174.45715580680553,1.538518889765412,968.7709486303908,947.9998854710853,-58.860711474234115,-55.915408115035675,20.978843548812698,3.2741809263825417e-10,3.566221281657306e-11
440,8.149945180899623,0.5176576754763653,False,-20268.005368348364,-20407.750825438354,-139.74545708998994,1.1880603835856631,933.7203224333673,915.9848115953191,6.769971410406507,4.9464083965375405,17.829013622522012,2.473825588822365e-10,3.501677269408624e-11
442,8.149945180899623,0.7719477757485738,False,-18578.048446642446,-18765.54275010336,-187.49430346091322,1.6906579160803585,980.0133217889721,958.2513490517636,73.67652628318167,72.26028174118521,21.808007841564613,3.346940502524376e-10,4.192679983848975e-11
444,8.149945180899623,1.026237876020783,False,-13704.0046592615,-13995.232329899978,-291.22767063847823,3.064019766762233,947.8708694012696,925.3641317081393,150.8503643175524,158.5055280625125,23.7729841111612,4.5838532969355583e-10,6.400770890981752e-11
